,Player,Season,BA,SLG,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
405,"Cabrera, Miguel",2017,0.249,0.399,12.4,41.7,111.5,91.1,95.4,86.3,451,190,388.0,174,48.2,16.9,38,10.5,7.2
406,"Castro, Starlin",2017,0.3,0.454,6.9,30.6,110.4,87.4,93.3,84.1,452,150,398.0,129,36.5,14.1,16,4.5,3.4
407,"Cron, C.J.",2017,0.248,0.437,18.2,37.8,114.9,88.9,93.6,85.0,461,199,416.0,95,38.6,12.9,25,10.2,6.7
408,"d'Arnaud, Travis",2017,0.244,0.443,13.5,33.2,111.6,88.0,93.3,83.5,455,173,400.0,104,35.7,14.6,19,6.5,5.1
409,"d'Arnaud, Travis",2019,0.251,0.433,14.6,33.8,113.1,90.0,93.6,87.6,453,180,405.0,108,39.7,14.2,21,7.7,5.4
410,"Davis, Chris",2018,0.168,0.296,15.1,35.5,111.8,89.3,94.5,83.7,434,189,403.0,113,40.1,11.5,29,10.3,5.6
411,"Dietrich, Derek",2018,0.265,0.421,15.8,34.1,111.0,87.4,90.8,86.2,448,170,397.0,136,37.8,12.5,22,6.1,4.0
412,"Gomes, Yan",2018,0.266,0.449,18.7,41.5,109.1,88.9,92.3,85.0,435,200,391.0,110,38.7,11.9,24,8.4,5.5
413,"González, Carlos",2018,0.276,0.467,9.0,29.7,118.3,89.7,92.2,89.4,473,160,420.0,138,39.1,14.6,22,6.2,4.4
414,"Goodrum, Niko",2018,0.245,0.432,11.1,37.6,110.7,88.0,91.5,85.1,418,176,387.0,111,35.4,11.5,25,8.0,5.1
415,"Gregorius, Didi",2019,0.238,0.441,17.9,28.9,110.8,88.2,91.6,88.5,413,185,390.0,95,35.8,12.4,15,5.5,4.4
416,"Guzmán, Ronald",2018,0.235,0.416,14.1,33.3,111.3,86.6,90.2,84.4,443,178,386.0,88,33.1,10.1,17,6.4,4.0
417,"Haniger, Mitch",2017,0.282,0.491,10.9,36.8,111.2,87.7,93.2,82.5,437,174,400.0,98,35.4,14.6,17,6.1,4.1
418,"Harrison, Josh",2017,0.272,0.432,16.5,38.4,103.2,84.9,89.7,79.5,422,186,377.0,96,24.1,8.9,11,2.7,2.0
419,"Jones, Adam",2019,0.26,0.414,13.5,31.3,108.5,86.2,90.2,84.3,441,167,405.0,120,31.0,11.5,26,6.7,4.9
420,"Longoria, Evan",2018,0.244,0.413,13.6,32.6,110.4,88.5,93.0,85.7,435,177,399.0,143,37.2,15.2,29,7.6,5.7
421,"Merrifield, Whit",2019,0.302,0.463,15.6,41.9,104.8,87.0,90.6,82.9,434,183,392.0,161,29.0,11.8,24,4.3,3.3
422,"Pillar, Kevin",2017,0.256,0.404,13.0,33.3,111.9,86.0,90.1,84.0,451,172,402.0,144,29.1,12.4,17,3.4,2.7
423,"Reynolds, Bryan",2019,0.314,0.503,9.4,37.0,112.1,89.5,92.4,87.5,424,170,401.0,153,41.6,14.7,25,6.7,4.6
424,"Winker, Jesse",2019,0.269,0.473,7.2,32.0,110.8,89.2,93.6,86.1,415,158,381.0,111,41.1,16.4,12,4.3,3.1
425,"Arcia, Orlando",2017,0.277,0.407,6.8,28.7,107.3,85.7,90.6,82.9,422,147,399.0,113,27.6,10.5,16,3.9,2.9
426,"Arcia, Orlando",2019,0.223,0.35,6.6,26.5,109.9,87.9,91.4,85.9,434,150,393.0,121,31.3,12.1,17,4.3,3.1
427,"Beltré, Adrián",2018,0.273,0.434,13.6,39.7,109.2,88.7,91.8,85.6,439,187,399.0,129,37.4,14.9,22,6.4,4.6
428,"Cain, Lorenzo",2017,0.3,0.44,10.2,32.1,112.0,89.1,92.2,88.2,436,173,399.0,173,35.6,14.0,17,3.5,2.6
